Film,Code,Arousal mean,Model_A (PANAS),Model_B (Averages),Model_C (Dominant),Model_D (PCA),Length,Duration_ms
"""Les trois freres""",18.0,4.36,0.652,0.9834,0.9882,1.0,2’24’’,144000
Benny and Joone,66.0,4.09,0.6572,1.0,0.8543,0.9851,2’01’’,121000
The dinner game,22.0,5.1,0.7834,0.9909,1.0,0.9756,1’40’,100000
Ghost,43.0,5.0,0.505,0.9824,0.6968,0.9574,3’35’’,215000
The visitors,11.0,3.55,0.5607,0.9048,0.8919,0.9519,2’09’’,129000
Forrest Gump,25.0,5.25,0.6581,0.9578,0.6827,0.8964,2’01’’,121000
"""La cite de la peur""",77.0,4.52,0.6111,0.8413,0.8613,0.8878,2’13’’,133000
The dead Poets Society (2),69.0,5.66,1.0,0.842,0.5441,0.8071,2’40’’,160000
Life is beautiful (4),58.0,5.59,0.6372,0.9294,0.8026,0.8044,3’48’’,228000
There is something about Mary (1,71.0,4.02,0.4058,0.7285,0.7861,0.7904,2’55’’,175000
When a man loves a woman,36.0,3.71,0.3441,0.725,0.6193,0.7656,1’39’’,99000
A fish called Wanda,33.0,4.04,0.3867,0.7348,0.6498,0.764,2’53’’,173000
"""Le Pari""",52.0,3.92,0.3658,0.7481,0.6874,0.7616,1’47’’,107000
Life is beautiful (3),710.0,5.44,0.4946,0.7764,0.6945,0.7089,4’09’’,249000
Life is beautiful (2),54.0,5.82,0.4928,0.7791,0.6428,0.699,1’45’’,105000
When Harry met Sally,24.0,4.67,0.5241,0.7445,0.537,0.6949,2’45’’,165000
The eigth day,14.0,5.25,0.2362,0.711,0.6099,0.6305,2’10’’,130000
There is something about Mary (2),44.0,3.84,0.1831,0.5727,0.4994,0.6288,2’26’’,146000
The lover,68.0,1.86,0.0996,0.3799,0.9718,0.5512,43’’,43000
Blue (3),59.0,1.86,-0.0152,0.2093,0.5817,0.4103,25’’,25000
Trainspotting (3),27.0,4.02,0.1483,0.3086,-0.0928,0.3781,1’02’’,62000
Blue (1),74.0,1.83,0.0291,0.1775,0.6146,0.3589,16’’,16000
E.T.,19.0,4.16,-0.0352,0.3095,0.3514,0.35,4’35’’,275000
Blue (2),55.0,1.63,-0.0344,0.1025,0.3796,0.3067,40’’,40000
City of angels,46.0,5.15,-0.1187,0.1719,-0.0975,0.228,4’15’’,255000
Underground,63.0,3.02,-0.1814,0.0849,0.1868,0.2104,58’’,58000
Philadelphia,72.0,5.24,-0.0013,0.1047,-0.1234,0.1679,5’28’’,328000
Indiana Jones,41.0,3.65,-0.3241,-0.0239,-0.2197,0.1658,1’53’’,113000
Trainspotting (2),45.0,4.84,-0.1936,-0.0326,-0.5934,0.1458,1’44’’,104000
The Professional (1),28.0,5.53,-0.271,0.0518,0.1445,0.1252,2’44’’,164000
Scream 2,76.0,4.81,-0.2675,-0.0509,-0.4148,0.0981,3’35’’,215000
Hellraiser,67.0,3.93,-0.4363,-0.1323,-0.4031,0.0639,1’30’’,90000
Seven (3),79.0,4.24,-0.104,-0.1793,-0.4595,0.0422,3’19’’,199000
Dangerous mind,62.0,5.25,-0.1388,-0.105,-0.349,0.0221,2’08’’,128000
Child's Play II (Chucky II),56.0,4.63,-0.4415,-0.1948,-0.4477,-0.0194,1’05’’,65000
The dead Poets Society (1),13.0,4.84,-0.3232,-0.1991,-0.2315,-0.0251,4’14’’,254000
Man Bites Dog (2),21.0,4.65,-0.2692,-0.1388,-0.0646,-0.0696,1’17’’,77000
The Exorcist,34.0,4.73,-0.5355,-0.2947,-0.3913,-0.0896,1’41’’,101000
It,48.0,4.69,-0.5816,-0.1973,-0.3302,-0.0926,2’13’’,133000
The silence of the lambs,32.0,4.39,-0.2788,-0.3377,-0.4689,-0.1166,3’29’’,209000
The Shining,38.0,5.11,-0.6712,-0.3037,-0.584,-0.1252,4’15’’,255000
The dreamlife of Angels,23.0,5.22,-0.3049,-0.2303,-0.3067,-0.1317,2’41’’,161000
Copycat,42.0,4.76,-0.4867,-0.3144,-0.53,-0.1366,2’23’’,143000
In the name of the father,310.0,3.84,-0.4041,-0.3114,-0.1304,-0.1595,3’30’’,210000
