Film,Code,Arousal mean,Raw_Dominant_Valence,Normalized_Score_Model_C,Length,Duration_ms
The dinner game,22.0,5.1,4.76,1.0,1’40’,100000
"""Les trois freres""",18.0,4.36,4.71,0.9882,2’24’’,144000
The lover,68.0,1.86,4.64,0.9718,43’’,43000
The visitors,11.0,3.55,4.3,0.8919,2’09’’,129000
"""La cite de la peur""",77.0,4.52,4.17,0.8613,2’13’’,133000
Benny and Joone,66.0,4.09,4.14,0.8543,2’01’’,121000
Life is beautiful (4),58.0,5.59,3.92,0.8026,3’48’’,228000
There is something about Mary (1,71.0,4.02,3.85,0.7861,2’55’’,175000
Ghost,43.0,5.0,3.47,0.6968,3’35’’,215000
Life is beautiful (3),710.0,5.44,3.46,0.6945,4’09’’,249000
"""Le Pari""",52.0,3.92,3.43,0.6874,1’47’’,107000
Forrest Gump,25.0,5.25,3.41,0.6827,2’01’’,121000
A fish called Wanda,33.0,4.04,3.27,0.6498,2’53’’,173000
Life is beautiful (2),54.0,5.82,3.24,0.6428,1’45’’,105000
When a man loves a woman,36.0,3.71,3.14,0.6193,1’39’’,99000
Blue (1),74.0,1.83,3.12,0.6146,16’’,16000
The eigth day,14.0,5.25,3.1,0.6099,2’10’’,130000
Blue (3),59.0,1.86,2.98,0.5817,25’’,25000
The dead Poets Society (2),69.0,5.66,2.82,0.5441,2’40’’,160000
When Harry met Sally,24.0,4.67,2.79,0.537,2’45’’,165000
There is something about Mary (2),44.0,3.84,2.63,0.4994,2’26’’,146000
Blue (2),55.0,1.63,2.12,0.3796,40’’,40000
E.T.,19.0,4.16,2.0,0.3514,4’35’’,275000
Underground,63.0,3.02,1.3,0.1868,58’’,58000
The Professional (1),28.0,5.53,1.12,0.1445,2’44’’,164000
A perfect World,53.0,5.78,0.72,0.0505,4’27’’,267000
Man Bites Dog (2),21.0,4.65,0.23,-0.0646,1’17’’,77000
Trainspotting (3),27.0,4.02,0.11,-0.0928,1’02’’,62000
City of angels,46.0,5.15,0.09,-0.0975,4’15’’,255000
Philadelphia,72.0,5.24,-0.02,-0.1234,5’28’’,328000
In the name of the father,310.0,3.84,-0.05,-0.1304,3’30’’,210000
Life is beautiful (1),64.0,5.48,-0.29,-0.1868,2’07’’,127000
Indiana Jones,41.0,3.65,-0.43,-0.2197,1’53’’,113000
The dead Poets Society (1),13.0,4.84,-0.48,-0.2315,4’14’’,254000
The dreamlife of Angels,23.0,5.22,-0.8,-0.3067,2’41’’,161000
It,48.0,4.69,-0.9,-0.3302,2’13’’,133000
Dangerous mind,62.0,5.25,-0.98,-0.349,2’08’’,128000
The Exorcist,34.0,4.73,-1.16,-0.3913,1’41’’,101000
Hellraiser,67.0,3.93,-1.21,-0.4031,1’30’’,90000
Scream 2,76.0,4.81,-1.26,-0.4148,3’35’’,215000
Child's Play II (Chucky II),56.0,4.63,-1.4,-0.4477,1’05’’,65000
Seven (3),79.0,4.24,-1.45,-0.4595,3’19’’,199000
The silence of the lambs,32.0,4.39,-1.49,-0.4689,3’29’’,209000
Trainspotting (1),110.0,5.07,-1.49,-0.4689,1’37’’,97000
The professional (2),51.0,5.0,-1.69,-0.5159,5’39’’,339000
Seven (1),75.0,5.69,-1.73,-0.5253,5’52’’,352000
Copycat,42.0,4.76,-1.75,-0.53,2’23’’,143000
Schindler's list (3),78.0,5.06,-1.95,-0.577,1’30’’,90000
The Shining,38.0,5.11,-1.98,-0.584,4’15’’,255000
Trainspotting (2),45.0,4.84,-2.02,-0.5934,1’44’’,104000
Scream 1,26.0,5.29,-2.08,-0.6075,6’33’’,393000
Seven (2),17.0,4.95,-2.11,-0.6146,1’ 43’’,103000
The dentist,57.0,4.57,-2.31,-0.6616,56’’,56000
The Blair Witch Project,65.0,4.95,-2.46,-0.6968,3’57’’,237000
Schindler's list (2),12.0,5.13,-2.65,-0.7415,1’55’’,115000
Leaving Las Vegas,61.0,5.0,-2.66,-0.7438,2’30’’,150000
The Piano,49.0,5.67,-2.69,-0.7509,43’’,43000
Saving Private Ryan,37.0,5.73,-2.81,-0.7791,5’22’’,322000
Man Bites Dog (1),73.0,5.41,-2.87,-0.7932,1’54’’,114000
Dead Man Walking,31.0,5.87,-2.94,-0.8096,6’40’’,400000
Misery,510.0,6.12,-3.44,-0.9271,3’31’’,211000
Schindler's list (1),29.0,5.88,-3.47,-0.9342,1’18’’,78000
American History X,15.0,5.84,-3.53,-0.9483,1’ 17’’,77000
Sleepers,35.0,5.63,-3.75,-1.0,2’20’’,140000
