Film,Code,Arousal mean,Raw_PCA_Valence,Normalized_Score_Model_D,Length,Duration_ms
"""Les trois freres""",18.0,4.36,4.6315,1.0,2’24’’,144000
Benny and Joone,66.0,4.09,4.5533,0.9851,2’01’’,121000
The dinner game,22.0,5.1,4.5036,0.9756,1’40’,100000
Ghost,43.0,5.0,4.4081,0.9574,3’35’’,215000
The visitors,11.0,3.55,4.3793,0.9519,2’09’’,129000
Forrest Gump,25.0,5.25,4.0883,0.8964,2’01’’,121000
"""La cite de la peur""",77.0,4.52,4.0434,0.8878,2’13’’,133000
The dead Poets Society (2),69.0,5.66,3.6204,0.8071,2’40’’,160000
Life is beautiful (4),58.0,5.59,3.6064,0.8044,3’48’’,228000
There is something about Mary (1,71.0,4.02,3.5325,0.7904,2’55’’,175000
When a man loves a woman,36.0,3.71,3.4029,0.7656,1’39’’,99000
A fish called Wanda,33.0,4.04,3.3946,0.764,2’53’’,173000
"""Le Pari""",52.0,3.92,3.3821,0.7616,1’47’’,107000
Life is beautiful (3),710.0,5.44,3.1058,0.7089,4’09’’,249000
Life is beautiful (2),54.0,5.82,3.0537,0.699,1’45’’,105000
When Harry met Sally,24.0,4.67,3.0321,0.6949,2’45’’,165000
The eigth day,14.0,5.25,2.6948,0.6305,2’10’’,130000
There is something about Mary (2),44.0,3.84,2.6858,0.6288,2’26’’,146000
The lover,68.0,1.86,2.2791,0.5512,43’’,43000
Blue (3),59.0,1.86,1.5405,0.4103,25’’,25000
Trainspotting (3),27.0,4.02,1.3717,0.3781,1’02’’,62000
Blue (1),74.0,1.83,1.2711,0.3589,16’’,16000
E.T.,19.0,4.16,1.2243,0.35,4’35’’,275000
Blue (2),55.0,1.63,0.9974,0.3067,40’’,40000
City of angels,46.0,5.15,0.5846,0.228,4’15’’,255000
Underground,63.0,3.02,0.4922,0.2104,58’’,58000
Philadelphia,72.0,5.24,0.2697,0.1679,5’28’’,328000
Indiana Jones,41.0,3.65,0.2583,0.1658,1’53’’,113000
Trainspotting (2),45.0,4.84,0.1539,0.1458,1’44’’,104000
The Professional (1),28.0,5.53,0.0458,0.1252,2’44’’,164000
Scream 2,76.0,4.81,-0.0962,0.0981,3’35’’,215000
Hellraiser,67.0,3.93,-0.2755,0.0639,1’30’’,90000
Seven (3),79.0,4.24,-0.3895,0.0422,3’19’’,199000
Dangerous mind,62.0,5.25,-0.4947,0.0221,2’08’’,128000
Child's Play II (Chucky II),56.0,4.63,-0.7121,-0.0194,1’05’’,65000
The dead Poets Society (1),13.0,4.84,-0.7424,-0.0251,4’14’’,254000
Man Bites Dog (2),21.0,4.65,-0.9756,-0.0696,1’17’’,77000
The Exorcist,34.0,4.73,-1.0802,-0.0896,1’41’’,101000
It,48.0,4.69,-1.096,-0.0926,2’13’’,133000
The silence of the lambs,32.0,4.39,-1.222,-0.1166,3’29’’,209000
The Shining,38.0,5.11,-1.267,-0.1252,4’15’’,255000
The dreamlife of Angels,23.0,5.22,-1.301,-0.1317,2’41’’,161000
Copycat,42.0,4.76,-1.3267,-0.1366,2’23’’,143000
In the name of the father,310.0,3.84,-1.4466,-0.1595,3’30’’,210000
The Blair Witch Project,65.0,4.95,-1.5179,-0.1731,3’57’’,237000
Seven (2),17.0,4.95,-1.7338,-0.2143,1’ 43’’,103000
The dentist,57.0,4.57,-1.8119,-0.2292,56’’,56000
Scream 1,26.0,5.29,-2.0614,-0.2768,6’33’’,393000
A perfect World,53.0,5.78,-2.0942,-0.283,4’27’’,267000
Seven (1),75.0,5.69,-2.2445,-0.3117,5’52’’,352000
The professional (2),51.0,5.0,-2.2966,-0.3216,5’39’’,339000
Life is beautiful (1),64.0,5.48,-2.2999,-0.3223,2’07’’,127000
Trainspotting (1),110.0,5.07,-2.4889,-0.3583,1’37’’,97000
Schindler's list (3),78.0,5.06,-3.1544,-0.4853,1’30’’,90000
Misery,510.0,6.12,-3.4687,-0.5452,3’31’’,211000
The Piano,49.0,5.67,-3.4783,-0.5471,43’’,43000
Saving Private Ryan,37.0,5.73,-3.6119,-0.5725,5’22’’,322000
Leaving Las Vegas,61.0,5.0,-3.6943,-0.5883,2’30’’,150000
Dead Man Walking,31.0,5.87,-3.9766,-0.6421,6’40’’,400000
Man Bites Dog (1),73.0,5.41,-4.0174,-0.6499,1’54’’,114000
Schindler's list (2),12.0,5.13,-4.5294,-0.7476,1’55’’,115000
Sleepers,35.0,5.63,-4.5607,-0.7535,2’20’’,140000
American History X,15.0,5.84,-5.2883,-0.8923,1’ 17’’,77000
Schindler's list (1),29.0,5.88,-5.8527,-1.0,1’18’’,78000
